c,energy,epsilon,n1d_max,nlevel,nstep
-0.05546283812533903,24.52997733974101,0.06666666666666667,15,22,1
-0.05546283812533903,24.529977339741073,0.06666666666666667,15,23,1
-0.05546283812533903,24.529977339741077,0.06666666666666667,15,24,1
-0.05546283812533903,24.529977339741237,0.06666666666666667,15,25,1
-0.05546283812533903,24.529977339741492,0.06666666666666667,15,26,1
-0.05546283812533903,27.941944113655104,0.06666666666666667,15,27,1
-0.05546283812533903,31.292817809691577,0.06666666666666667,15,28,1
-0.05546283812533903,31.292817809691687,0.06666666666666667,15,29,1
-0.05546283812533903,31.29281780969179,0.06666666666666667,15,30,1
-0.05546283812533903,31.292817809691897,0.06666666666666667,15,31,1
-0.05546283812533903,31.292817809691954,0.06666666666666667,15,32,1
-0.05546283812533903,33.26707318846538,0.06666666666666667,15,33,1
-0.05546283812533903,39.46947692293866,0.06666666666666667,15,34,1
-0.05546283812533903,39.46947692293868,0.06666666666666667,15,35,1
-0.05546283812533903,39.46947692293884,0.06666666666666667,15,36,1
-0.05546283812533903,39.469476922938874,0.06666666666666667,15,37,1
-0.05546283812533903,39.46947692293892,0.06666666666666667,15,38,1
-0.05546283812533903,39.469476922938924,0.06666666666666667,15,39,1
-0.05546283812533903,39.46947692293895,0.06666666666666667,15,40,1
-0.05546283812533903,39.46947692293896,0.06666666666666667,15,41,1
-0.05546283812533903,39.469476922938966,0.06666666666666667,15,42,1
-0.05546283812533903,39.469476922938966,0.06666666666666667,15,43,1
-0.05546283812533903,39.469476922938966,0.06666666666666667,15,44,1
-0.05546283812533903,39.46947692293902,0.06666666666666667,15,45,1
-0.05546283812533903,39.46947692293904,0.06666666666666667,15,46,1
-0.05546283812533903,39.46947692293915,0.06666666666666667,15,47,1
-0.05546283812533903,39.46947692293917,0.06666666666666667,15,48,1
-0.05546283812533903,39.46947692293929,0.06666666666666667,15,49,1
-0.05546283812533903,39.46947692293936,0.06666666666666667,15,50,1
-0.05546283812533903,39.469476922939414,0.06666666666666667,15,51,1
-0.05546283812533903,39.469476922939506,0.06666666666666667,15,52,1
-0.05546283812533903,43.621239420255414,0.06666666666666667,15,53,1
-0.05546283812533903,47.64613603618569,0.06666666666666667,15,54,1
-0.05546283812533903,47.64613603618584,0.06666666666666667,15,55,1
-0.05546283812533903,47.64613603618586,0.06666666666666667,15,56,1
-0.05546283812533903,47.646136036185936,0.06666666666666667,15,57,1
-0.05546283812533903,47.64613603618594,0.06666666666666667,15,58,1
-0.05546283812533903,47.646136036186,0.06666666666666667,15,59,1
-0.04153708023609903,-0.7770971384895793,0.05,20,0,1
-0.04153708023609903,3.8551868307678454,0.05,20,1,1
-0.04153708023609903,8.229253250078843,0.05,20,2,1
-0.04153708023609903,8.229253250079088,0.05,20,3,1
-0.04153708023609903,8.229253250079127,0.05,20,4,1
-0.04153708023609903,8.229253250079312,0.05,20,5,1
-0.04153708023609903,8.229253250079354,0.05,20,6,1
-0.04153708023609903,11.767048167456762,0.05,20,7,1
-0.04153708023609903,16.458506500158173,0.05,20,8,1
-0.04153708023609903,16.4585065001582,0.05,20,9,1
-0.04153708023609903,16.458506500158244,0.05,20,10,1
-0.04153708023609903,16.458506500158368,0.05,20,11,1
-0.04153708023609903,16.458506500158414,0.05,20,12,1
-0.04153708023609903,16.458506500158474,0.05,20,13,1
-0.04153708023609903,16.458506500158492,0.05,20,14,1
-0.04153708023609903,16.458506500158524,0.05,20,15,1
-0.04153708023609903,16.45850650015858,0.05,20,16,1
-0.04153708023609903,16.45850650015869,0.05,20,17,1
-0.04153708023609903,16.45850650015879,0.05,20,18,1
-0.04153708023609903,21.417839869098305,0.05,20,19,1
-0.04153708023609903,24.687759750237227,0.05,20,20,1
-0.04153708023609903,24.687759750237344,0.05,20,21,1
-0.04153708023609903,24.687759750237547,0.05,20,22,1
-0.04153708023609903,24.68775975023777,0.05,20,23,1
-0.04153708023609903,24.68775975023791,0.05,20,24,1
-0.04153708023609903,24.687759750238015,0.05,20,25,1
-0.04153708023609903,24.68775975023818,0.05,20,26,1
-0.04153708023609903,28.477254448749292,0.05,20,27,1
-0.04153708023609903,32.11147635561966,0.05,20,28,1
-0.04153708023609903,32.11147635561996,0.05,20,29,1
-0.04153708023609903,32.111476355620006,0.05,20,30,1
-0.04153708023609903,32.11147635562006,0.05,20,31,1
-0.04153708023609903,32.11147635562007,0.05,20,32,1
-0.04153708023609903,34.09292444291355,0.05,20,33,1
-0.04153708023609903,40.340729605699245,0.05,20,34,1
-0.04153708023609903,40.340729605699295,0.05,20,35,1
-0.04153708023609903,40.340729605699366,0.05,20,36,1
-0.04153708023609903,40.34072960569939,0.05,20,37,1
-0.04153708023609903,40.340729605699416,0.05,20,38,1
-0.04153708023609903,40.34072960569953,0.05,20,39,1
-0.04153708023609903,40.340729605699565,0.05,20,40,1
-0.04153708023609903,40.3407296056996,0.05,20,41,1
-0.04153708023609903,40.340729605699664,0.05,20,42,1
-0.04153708023609903,40.34072960569967,0.05,20,43,1
-0.04153708023609903,40.340729605699686,0.05,20,44,1
-0.04153708023609903,40.340729605699735,0.05,20,45,1
-0.04153708023609903,40.340729605699806,0.05,20,46,1
-0.04153708023609903,40.340729605699906,0.05,20,47,1
-0.04153708023609903,40.34072960569991,0.05,20,48,1
-0.04153708023609903,40.34072960569992,0.05,20,49,1
-0.04153708023609903,40.34072960570008,0.05,20,50,1
-0.04153708023609903,40.34072960570012,0.05,20,51,1
-0.04153708023609903,40.34072960570021,0.05,20,52,1
-0.04153708023609903,40.34072960570021,0.05,20,53,1
-0.04153708023609903,40.3407296057004,0.05,20,54,1
-0.04153708023609903,40.34072960570062,0.05,20,55,1
-0.04153708023609903,40.34072960570065,0.05,20,56,1
-0.04153708023609903,44.585400260855884,0.05,20,57,1
-0.04153708023609903,48.569982855778406,0.05,20,58,1
-0.04153708023609903,48.56998285577844,0.05,20,59,1
-0.016629530684648897,-0.7883352046770657,0.02,50,0,1
-0.016629530684648897,3.899394790755289,0.02,50,1,1
-0.016629530684648897,8.286358433713106,0.02,50,2,1
-0.016629530684648897,8.286358433713438,0.02,50,3,1
-0.016629530684648897,8.286358433713641,0.02,50,4,1
-0.016629530684648897,8.286358433713863,0.02,50,5,1
-0.016629530684648897,8.286358433714177,0.02,50,6,1
-0.016629530684648897,11.901392353703322,0.02,50,7,1
-0.016629530684648897,16.57271686742431,0.02,50,8,1
-0.016629530684648897,16.572716867426113,0.02,50,9,1
-0.016629530684648897,16.57271686742761,0.02,50,10,1
-0.016629530684648897,16.572716867427637,0.02,50,11,1
-0.016629530684648897,16.572716867427932,0.02,50,12,1
-0.016629530684648897,16.572716867427935,0.02,50,13,1
-0.016629530684648897,16.572716867428486,0.02,50,14,1
-0.016629530684648897,16.572716867428547,0.02,50,15,1
-0.016629530684648897,16.572716867428863,0.02,50,16,1
-0.016629530684648897,16.572716867429058,0.02,50,17,1
-0.016629530684648897,16.572716867429204,0.02,50,18,1
-0.016629530684648897,21.692927096022107,0.02,50,19,1
-0.016629530684648897,24.859075301140653,0.02,50,20,1
-0.016629530684648897,24.859075301141402,0.02,50,21,1
-0.016629530684648897,24.85907530114166,0.02,50,22,1
-0.016629530684648897,24.859075301142013,0.02,50,23,1
-0.016629530684648897,24.859075301142127,0.02,50,24,1
-0.016629530684648897,24.859075301142155,0.02,50,25,1
-0.016629530684648897,24.85907530114237,0.02,50,26,1
-0.016629530684648897,29.12605699856292,0.02,50,27,1
-0.016629530684648897,33.01475291232489,0.02,50,28,1
-0.016629530684648897,33.01475291232542,0.02,50,29,1
-0.016629530684648897,33.014752912325484,0.02,50,30,1
-0.016629530684648897,33.014752912325626,0.02,50,31,1
-0.016629530684648897,33.01475291232622,0.02,50,32,1
-0.016629530684648897,35.03853685840417,0.02,50,33,1
-0.016629530684648897,41.30111134603808,0.02,50,34,1
-0.016629530684648897,41.30111134603901,0.02,50,35,1
-0.016629530684648897,41.301111346039136,0.02,50,36,1
-0.016629530684648897,41.30111134603924,0.02,50,37,1
-0.016629530684648897,41.30111134603943,0.02,50,38,1
-0.016629530684648897,41.30111134603951,0.02,50,39,1
-0.016629530684648897,41.30111134603952,0.02,50,40,1
-0.016629530684648897,41.301111346039555,0.02,50,41,1
-0.016629530684648897,41.30111134603962,0.02,50,42,1
-0.016629530684648897,41.301111346039875,0.02,50,43,1
-0.016629530684648897,41.30111134603992,0.02,50,44,1
-0.016629530684648897,41.301111346040095,0.02,50,45,1
-0.016629530684648897,41.30111134604034,0.02,50,46,1
-0.016629530684648897,41.30111134604047,0.02,50,47,1
-0.016629530684648897,41.301111346040706,0.02,50,48,1
-0.016629530684648897,41.301111346041054,0.02,50,49,1
-0.016629530684648897,41.301111346041104,0.02,50,50,1
-0.016629530684648897,41.301111346041424,0.02,50,51,1
-0.016629530684648897,41.301111346042255,0.02,50,52,1
-0.016629530684648897,45.68017863204457,0.02,50,53,1
-0.016629530684648897,49.58746977975208,0.02,50,54,1
-0.016629530684648897,49.58746977975223,0.02,50,55,1
-0.016629530684648897,49.587469779752276,0.02,50,56,1
-0.016629530684648897,49.5874697797523,0.02,50,57,1
-0.016629530684648897,49.58746977975245,0.02,50,58,1
-0.016629530684648897,49.58746977975291,0.02,50,59,1
-0.08277605330462179,-0.7580474369373057,0.1,10,0,1
-0.08277605330462179,3.7621219342558336,0.1,10,1,1
-0.08277605330462179,8.027869088904946,0.1,10,2,1
-0.08277605330462179,8.027869088904984,0.1,10,3,1
-0.08277605330462179,8.027869088905117,0.1,10,4,1
-0.08277605330462179,8.027869088905174,0.1,10,5,1
-0.08277605330462179,8.027869088905236,0.1,10,6,1
-0.08277605330462179,11.431611849994136,0.1,10,7,1
-0.08277605330462179,16.055738177810028,0.1,10,8,1
-0.08277605330462179,16.055738177810035,0.1,10,9,1
-0.08277605330462179,16.055738177810067,0.1,10,10,1
-0.08277605330462179,16.055738177810102,0.1,10,11,1
-0.08277605330462179,16.055738177810117,0.1,10,12,1
-0.08277605330462179,16.05573817781017,0.1,10,13,1
-0.08277605330462179,16.0557381778102,0.1,10,14,1
-0.08277605330462179,16.055738177810213,0.1,10,15,1
-0.08277605330462179,16.055738177810248,0.1,10,16,1
-0.08277605330462179,16.055738177810255,0.1,10,17,1
-0.08277605330462179,16.055738177810433,0.1,10,18,1
-0.08277605330462179,20.640908983114443,0.1,10,19,1
-0.08277605330462179,24.08360726671527,0.1,10,20,1
-0.08277605330462179,24.083607266715322,0.1,10,21,1
-0.08277605330462179,24.08360726671536,0.1,10,22,1
-0.08277605330462179,24.08360726671539,0.1,10,23,1
-0.08277605330462179,24.08360726671544,0.1,10,24,1
-0.08277605330462179,24.083607266715504,0.1,10,25,1
-0.08277605330462179,24.08360726671553,0.1,10,26,1
-0.08277605330462179,26.6456140207758,0.1,10,27,1
-0.08277605330462179,29.04510322089316,0.1,10,28,1
-0.08277605330462179,29.04510322089336,0.1,10,29,1
-0.08277605330462179,29.0451032208934,0.1,10,30,1
-0.08277605330462179,29.045103220893413,0.1,10,31,1
-0.08277605330462179,29.04510322089346,0.1,10,32,1
-0.08277605330462179,31.152847547339004,0.1,10,33,1
-0.08277605330462179,37.07297230979821,0.1,10,34,1
-0.08277605330462179,37.07297230979822,0.1,10,35,1
-0.08277605330462179,37.07297230979831,0.1,10,36,1
-0.08277605330462179,37.072972309798395,0.1,10,37,1
-0.08277605330462179,37.0729723097984,0.1,10,38,1
-0.08277605330462179,37.0729723097984,0.1,10,39,1
-0.08277605330462179,37.072972309798445,0.1,10,40,1
-0.08277605330462179,37.07297230979847,0.1,10,41,1
-0.08277605330462179,37.07297230979847,0.1,10,42,1
-0.08277605330462179,37.07297230979853,0.1,10,43,1
-0.08277605330462179,37.07297230979854,0.1,10,44,1
-0.08277605330462179,37.072972309798566,0.1,10,45,1
-0.08277605330462179,37.07297230979857,0.1,10,46,1
-0.08277605330462179,37.07297230979857,0.1,10,47,1
-0.08277605330462179,37.072972309798594,0.1,10,48,1
-0.08277605330462179,37.07297230979864,0.1,10,49,1
-0.08277605330462179,37.07297230979873,0.1,10,50,1
-0.08277605330462179,37.0729723097989,0.1,10,51,1
-0.08277605330462179,37.07297230979891,0.1,10,52,1
-0.08277605330462179,41.062589017465505,0.1,10,53,1
-0.08277605330462179,45.10084139870322,0.1,10,54,1
-0.08277605330462179,45.100841398703295,0.1,10,55,1
-0.08277605330462179,45.10084139870335,0.1,10,56,1
-0.08277605330462179,45.1008413987035,0.1,10,57,1
-0.08277605330462179,45.1008413987035,0.1,10,58,1
-0.08277605330462179,45.100841398703515,0.1,10,59,1
-0.05546283812533903,-0.7932107633187299,0.06666666666666667,15,0,1
-0.05546283812533903,3.756556409331232,0.06666666666666667,15,1,1
-0.05546283812533903,8.176659113246876,0.06666666666666667,15,2,1
-0.05546283812533903,8.17665911324697,0.06666666666666667,15,3,1
-0.05546283812533903,8.17665911324703,0.06666666666666667,15,4,1
-0.05546283812533903,8.176659113247121,0.06666666666666667,15,5,1
-0.05546283812533903,8.176659113247233,0.06666666666666667,15,6,1
-0.05546283812533903,11.636744580012131,0.06666666666666667,15,7,1
-0.05546283812533903,16.353318226493663,0.06666666666666667,15,8,1
-0.05546283812533903,16.35331822649388,0.06666666666666667,15,9,1
-0.05546283812533903,16.353318226493965,0.06666666666666667,15,10,1
-0.05546283812533903,16.353318226493975,0.06666666666666667,15,11,1
-0.05546283812533903,16.353318226493982,0.06666666666666667,15,12,1
-0.05546283812533903,16.353318226494107,0.06666666666666667,15,13,1
-0.05546283812533903,16.353318226494213,0.06666666666666667,15,14,1
-0.05546283812533903,16.353318226494284,0.06666666666666667,15,15,1
-0.05546283812533903,16.353318226494295,0.06666666666666667,15,16,1
-0.05546283812533903,16.353318226494366,0.06666666666666667,15,17,1
-0.05546283812533903,16.35331822649458,0.06666666666666667,15,18,1
-0.05546283812533903,21.176417085089234,0.06666666666666667,15,19,1
-0.05546283812533903,24.52997733974069,0.06666666666666667,15,20,1
-0.05546283812533903,24.52997733974101,0.06666666666666667,15,21,1
-0.05546283812533903,24.52997733974101,0.06666666666666667,15,22,1
-0.05546283812533903,24.529977339741073,0.06666666666666667,15,23,1
-0.05546283812533903,24.529977339741077,0.06666666666666667,15,24,1
-0.05546283812533903,24.529977339741237,0.06666666666666667,15,25,1
-0.05546283812533903,24.529977339741492,0.06666666666666667,15,26,1
-0.05546283812533903,27.941944113655104,0.06666666666666667,15,27,1
-0.05546283812533903,31.292817809691577,0.06666666666666667,15,28,1
-0.05546283812533903,31.292817809691687,0.06666666666666667,15,29,1
-0.05546283812533903,31.29281780969179,0.06666666666666667,15,30,1
-0.05546283812533903,31.292817809691897,0.06666666666666667,15,31,1
-0.05546283812533903,31.292817809691954,0.06666666666666667,15,32,1
-0.05546283812533903,33.26707318846538,0.06666666666666667,15,33,1
-0.05546283812533903,39.46947692293866,0.06666666666666667,15,34,1
-0.05546283812533903,39.46947692293868,0.06666666666666667,15,35,1
-0.05546283812533903,39.46947692293884,0.06666666666666667,15,36,1
-0.05546283812533903,39.469476922938874,0.06666666666666667,15,37,1
-0.05546283812533903,39.46947692293892,0.06666666666666667,15,38,1
-0.05546283812533903,39.469476922938924,0.06666666666666667,15,39,1
-0.05546283812533903,39.46947692293895,0.06666666666666667,15,40,1
-0.05546283812533903,39.46947692293896,0.06666666666666667,15,41,1
-0.05546283812533903,39.469476922938966,0.06666666666666667,15,42,1
-0.05546283812533903,39.469476922938966,0.06666666666666667,15,43,1
-0.05546283812533903,39.469476922938966,0.06666666666666667,15,44,1
-0.05546283812533903,39.46947692293902,0.06666666666666667,15,45,1
-0.05546283812533903,39.46947692293904,0.06666666666666667,15,46,1
-0.05546283812533903,39.46947692293915,0.06666666666666667,15,47,1
-0.05546283812533903,39.46947692293917,0.06666666666666667,15,48,1
-0.05546283812533903,39.46947692293929,0.06666666666666667,15,49,1
-0.05546283812533903,39.46947692293936,0.06666666666666667,15,50,1
-0.05546283812533903,39.469476922939414,0.06666666666666667,15,51,1
-0.05546283812533903,39.469476922939506,0.06666666666666667,15,52,1
-0.05546283812533903,43.621239420255414,0.06666666666666667,15,53,1
-0.05546283812533903,47.64613603618569,0.06666666666666667,15,54,1
-0.05546283812533903,47.64613603618584,0.06666666666666667,15,55,1
-0.05546283812533903,47.64613603618586,0.06666666666666667,15,56,1
-0.05546283812533903,47.646136036185936,0.06666666666666667,15,57,1
-0.05546283812533903,47.64613603618594,0.06666666666666667,15,58,1
-0.05546283812533903,47.646136036186,0.06666666666666667,15,59,1
-0.04153708023609903,-0.7770971384895793,0.05,20,0,1
-0.04153708023609903,3.8551868307678454,0.05,20,1,1
-0.04153708023609903,8.229253250078843,0.05,20,2,1
-0.04153708023609903,8.229253250079088,0.05,20,3,1
-0.04153708023609903,8.229253250079127,0.05,20,4,1
-0.04153708023609903,8.229253250079312,0.05,20,5,1
-0.04153708023609903,8.229253250079354,0.05,20,6,1
-0.04153708023609903,11.767048167456762,0.05,20,7,1
-0.04153708023609903,16.458506500158173,0.05,20,8,1
-0.04153708023609903,16.4585065001582,0.05,20,9,1
-0.04153708023609903,16.458506500158244,0.05,20,10,1
-0.04153708023609903,16.458506500158368,0.05,20,11,1
-0.04153708023609903,16.458506500158414,0.05,20,12,1
-0.04153708023609903,16.458506500158474,0.05,20,13,1
-0.04153708023609903,16.458506500158492,0.05,20,14,1
-0.04153708023609903,16.458506500158524,0.05,20,15,1
-0.04153708023609903,16.45850650015858,0.05,20,16,1
-0.04153708023609903,16.45850650015869,0.05,20,17,1
-0.04153708023609903,16.45850650015879,0.05,20,18,1
-0.04153708023609903,21.417839869098305,0.05,20,19,1
-0.04153708023609903,24.687759750237227,0.05,20,20,1
-0.04153708023609903,24.687759750237344,0.05,20,21,1
-0.04153708023609903,24.687759750237547,0.05,20,22,1
-0.04153708023609903,24.68775975023777,0.05,20,23,1
-0.04153708023609903,24.68775975023791,0.05,20,24,1
-0.04153708023609903,24.687759750238015,0.05,20,25,1
-0.04153708023609903,24.68775975023818,0.05,20,26,1
-0.04153708023609903,28.477254448749292,0.05,20,27,1
-0.04153708023609903,32.11147635561966,0.05,20,28,1
-0.04153708023609903,32.11147635561996,0.05,20,29,1
-0.04153708023609903,32.111476355620006,0.05,20,30,1
-0.04153708023609903,32.11147635562006,0.05,20,31,1
-0.04153708023609903,32.11147635562007,0.05,20,32,1
-0.04153708023609903,34.09292444291355,0.05,20,33,1
-0.04153708023609903,40.340729605699245,0.05,20,34,1
-0.04153708023609903,40.340729605699295,0.05,20,35,1
-0.04153708023609903,40.340729605699366,0.05,20,36,1
-0.04153708023609903,40.34072960569939,0.05,20,37,1
-0.04153708023609903,40.340729605699416,0.05,20,38,1
-0.04153708023609903,40.34072960569953,0.05,20,39,1
-0.04153708023609903,40.340729605699565,0.05,20,40,1
-0.04153708023609903,40.3407296056996,0.05,20,41,1
-0.04153708023609903,40.340729605699664,0.05,20,42,1
-0.04153708023609903,40.34072960569967,0.05,20,43,1
-0.04153708023609903,40.340729605699686,0.05,20,44,1
-0.04153708023609903,40.340729605699735,0.05,20,45,1
-0.04153708023609903,40.340729605699806,0.05,20,46,1
-0.04153708023609903,40.340729605699906,0.05,20,47,1
-0.04153708023609903,40.34072960569991,0.05,20,48,1
-0.04153708023609903,40.34072960569992,0.05,20,49,1
-0.04153708023609903,40.34072960570008,0.05,20,50,1
-0.04153708023609903,40.34072960570012,0.05,20,51,1
-0.04153708023609903,40.34072960570021,0.05,20,52,1
-0.04153708023609903,40.34072960570021,0.05,20,53,1
-0.04153708023609903,40.3407296057004,0.05,20,54,1
-0.04153708023609903,40.34072960570062,0.05,20,55,1
-0.04153708023609903,40.34072960570065,0.05,20,56,1
-0.04153708023609903,44.585400260855884,0.05,20,57,1
-0.04153708023609903,48.569982855778406,0.05,20,58,1
-0.04153708023609903,48.56998285577844,0.05,20,59,1
-0.016629530684648897,-0.7883352046770657,0.02,50,0,1
-0.016629530684648897,3.899394790755289,0.02,50,1,1
-0.016629530684648897,8.286358433713106,0.02,50,2,1
-0.016629530684648897,8.286358433713438,0.02,50,3,1
-0.016629530684648897,8.286358433713641,0.02,50,4,1
-0.016629530684648897,8.286358433713863,0.02,50,5,1
-0.016629530684648897,8.286358433714177,0.02,50,6,1
-0.016629530684648897,11.901392353703322,0.02,50,7,1
-0.016629530684648897,16.57271686742431,0.02,50,8,1
-0.016629530684648897,16.572716867426113,0.02,50,9,1
-0.016629530684648897,16.57271686742761,0.02,50,10,1
-0.016629530684648897,16.572716867427637,0.02,50,11,1
-0.016629530684648897,16.572716867427932,0.02,50,12,1
-0.016629530684648897,16.572716867427935,0.02,50,13,1
-0.016629530684648897,16.572716867428486,0.02,50,14,1
-0.016629530684648897,16.572716867428547,0.02,50,15,1
-0.016629530684648897,16.572716867428863,0.02,50,16,1
